"","LocalityName","ExperimentID","Region.x","DistrictID","LocalityCode","Treatment","Longitude","Latitude","Clear cut","Year initiated","LiDAR data from year","Point density (/m^2)","Resolution (m)","X14","X1","Region.y","Productivity"
"64","Selbu_kl","{08BA3586-B495-4ADD-A054-EBBC42C0CF98}","Tr<f8>ndelag",1664,"KLUB","UB",11031679,63193102,"2003",2008,2015,2,"0,5",NA,34,"Trondelag",0.116040590906093
"65","Selbu_Sl","{57129549-D9CA-4F26-B5AE-C29A13078D06}","Tr<f8>ndelag",1664,"SLB","B",10988518,63136555,"2002",2008,2015,2,"0,5",NA,35,"Trondelag",0.124288986480107
"66","Selbu_Sl","{A8C429C7-4A54-444E-9356-18DE020C08D0}","Tr<f8>ndelag",1664,"SLUB","UB",10988881,6313596,"2002",2008,2015,2,"0,5",NA,35,"Trondelag",0.124288986480107
"67","Singsaas","{9DE16EE8-98D4-4615-90E6-B728C2FB5200}","Tr<f8>ndelag",1648,"LAB","B",10943145,62967839,"2005",2008,2015,2,"0,5",NA,36,"Trondelag",0.042265252358123
"68","Singsaas","{119DA686-F1E8-4F5B-95FE-614D3947E56C}","Tr<f8>ndelag",1648,"LAUB","UB",10942996,6296731,"2005",2008,2015,2,"0,5",NA,36,"Trondelag",0.042265252358123
"69","Sl_Tydal","{497016A2-081F-4D12-B7B2-42BEA56B357F}","Tr<f8>ndelag",1665,"SEB","B",11422647,63046955,"2005",2008,2015,2,"0,5",NA,37,"Trondelag",0.132712130856701
"70","Sl_Tydal","{FD109D9F-AE24-40DC-8D00-FAC2D3483C80}","Tr<f8>ndelag",1665,"SEUB","UB",11423383,63047032,"2005",2008,2015,2,"0,5",NA,37,"Trondelag",0.132712130856701
"71","Soerum","{EEE6CEC5-005B-4035-83AC-168884D6C1C4}","Hedmark",226,"SKB","B",11310369,59917857,"2008/9",2011,2013,2,"0,5",NA,44,"Hedmark",0.174894126572609
"72","Soerum","{9F217A6D-54E3-450F-ABC6-AAB0D86F00EA}","Hedmark",226,"SKUB","UB",11310522,59917101,"2008/9",2011,2013,2,"0,5",NA,44,"Hedmark",0.174894126572609
"73","Stangeskovene Aurskog","{B0A908A0-978F-463C-8EA8-A03946B5F541}","Hedmark",221,"SSAB","B",11353306,5984871,"2007/8",2010,2018,5,"0,25",NA,38,"Hedmark",0.114068354617472
"74","Stangeskovene Aurskog","{2AF93635-1E59-4308-9CF5-5F8DEC44711B}","Hedmark",221,"SSAUB","UB",11354806,59848884,"2007/8",2010,2018,5,"0,25",NA,38,"Hedmark",0.114068354617472
"75","Stangeskovene Eidskog","{DAD88203-F15E-44EF-B6D7-420E15477D61}","Hedmark",420,"SSBB","B",11884357,59950178,"2007/8",2010,2016,5,"0,5",NA,39,"Hedmark",0.0904621044106202
"76","Stangeskovene Eidskog","{91D4F204-343C-4696-A137-3B280BE596E5}","Hedmark",420,"SSBUB","UB",11885225,59949846,"2007/8",2010,2016,5,"0,5",NA,39,"Hedmark",0.0904621044106202
"77","steinkjer_1BBb","{D6B2FD7A-15C4-4670-B026-3602BBEA1089}","Tr<f8>ndelag",1702,"1BBB","B",11891657,64213491,"2005",2008,2011,2,"0,5",NA,40,"Trondelag",0.115979123017114
"78","steinkjer_1BBb","{38DA5D4B-31DA-44A6-A087-D602E9C69D3E}","Tr<f8>ndelag",1702,"1BBUB","UB",11892633,64213433,"2005",2008,2011,2,"0,5",NA,40,"Trondelag",0.115979123017114
"79","steinkjer_2BBb","{F14CE361-4908-4F0F-BD55-6DB6409E770C}","Tr<f8>ndelag",1702,"2BBB","B",1186149,64199944,"2004",2008,2011,2,"0,5",NA,41,"Trondelag",0.0870407514943544
"80","steinkjer_2BBb","{1EEE9DB5-04D1-4E73-90B6-A852830DAADE}","Tr<f8>ndelag",1702,"2BBUB","UB",11860742,64199657,"2004",2008,2011,2,"0,5",NA,41,"Trondelag",0.0870407514943544
"81","Stig Dahlen","{03B88C45-067F-4AEF-BC66-077159CD936F}","Hedmark",221,"SDB","B",11511604,59958474,"2007/8",2010,2017,2,"0,5",NA,42,"Hedmark",1
"82","Stig Dahlen","{ED0CE7FA-1B39-4F39-A7F2-CADBF94D7BF7}","Hedmark",221,"SDUB","UB",11510852,59957798,"2007/8",2010,2017,2,"0,5",NA,42,"Hedmark",1
"83","Sub_Namdalseid","{8DB1F626-7072-4F7F-BF3E-E55BEA21899C}","Tr<f8>ndelag",1725,"1SB","B",11314401,64181582,"2004",2008,2010,2,"0,5",NA,43,"Trondelag",0.0774373445233693
"84","Sub_Namdalseid","{A646BDBC-873B-44BB-B67B-39EA64394AD4}","Tr<f8>ndelag",1725,"1SUB","UB",11313697,64181336,"2004",2008,2010,2,"0,5",NA,43,"Trondelag",0.0774373445233693
"85","Truls Holm","{75ED6522-F97E-4551-BBE9-DFE7265F359D}","Hedmark",221,"THB","B",11801503,59850496,"2007/8",2010,2017,2,"0,5",NA,45,"Hedmark",0.29477737362203
"86","Truls Holm","{D0053508-CE78-48E3-AB11-636D588C96CE}","Hedmark",221,"THUB","UB",1180162,598511,"2007/8",2010,2017,2,"0,5",NA,45,"Hedmark",0.29477737362203
"87","verdal_1vb","{E96AC791-4752-4456-87D7-CBD160AA2E1C}","Tr<f8>ndelag",1721,"1VBB","B",11793287,63721556,"2005",2008,2015,2,"0,5",NA,46,"Trondelag",0.0119389206250207
"88","verdal_1vb","{60964B66-8484-4E24-9619-4CA7D5507D5F}","Tr<f8>ndelag",1721,"1VBUB","UB",11793114,63721926,"2005",2008,2015,2,"0,5",NA,46,"Trondelag",0.0119389206250207
"89","verdal_2VB","{6F5CBF6D-8525-4E42-A004-02A1A138E474}","Tr<f8>ndelag",1721,"2VBB","B",11678672,637363,"2003",2008,2015,2,"0,5",NA,47,"Trondelag",0.24111518527678
"90","verdal_2VB","{62C3914B-ECCA-4DE4-BCDA-0CD1C5B889F8}","Tr<f8>ndelag",1721,"2VBUB","UB",11679582,63736321,"2003",2008,2015,2,"0,5",NA,47,"Trondelag",0.24111518527678
